trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
676,False,"{'a': 0.5, 'e': 0.48772014705293454}",20,4,-88.00347744444763,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
677,False,"{'a': 0.5, 'e': 0.4863489364731361}",20,0,10.9392507218333,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
678,False,"{'a': 0.5, 'e': 0.4849765270920902}",20,10,7.474631212350268,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
679,False,"{'a': 0.5, 'e': 0.4836029222926483}",25,0,-38.451691963038165,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
680,False,"{'a': 0.5, 'e': 0.482228125460608}",25,0,-1.0095328817071376,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
681,False,"{'a': 0.5, 'e': 0.48085213998470566}",30,13,24.744115023757644,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
682,False,"{'a': 0.5, 'e': 0.4794749692566067}",25,16,-12.614177362033423,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
683,False,"{'a': 0.5, 'e': 0.4780966166708988}",20,0,-0.9878127843481046,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
684,False,"{'a': 0.5, 'e': 0.47671708562508275}",25,0,0.5872493809458394,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
685,False,"{'a': 0.5, 'e': 0.4753363795195635}",25,11,28.30645425230375,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
686,False,"{'a': 0.5, 'e': 0.47395450175764303}",35,11,18.176035864004696,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
687,False,"{'a': 0.5, 'e': 0.47257145574551135}",20,8,-44.54790479255505,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
688,False,"{'a': 0.5, 'e': 0.47118724489223746}",25,20,9.207339200497305,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.5, 'e': 0.4698018726097622}",20,7,17.942406110090147,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
690,False,"{'a': 0.5, 'e': 0.4684153423128892}",30,0,-61.475090576664016,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
691,False,"{'a': 0.5, 'e': 0.46702765741927593}",30,16,-29.206947055555673,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
692,False,"{'a': 0.5, 'e': 0.46563882134942636}",20,7,11.189356686567862,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
693,False,"{'a': 0.5, 'e': 0.464248837526682}",30,13,-43.8208544319594,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
694,False,"{'a': 0.5, 'e': 0.4628577093772128}",30,0,46.65422379731654,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
695,False,"{'a': 0.5, 'e': 0.4614654403300102}",20,0,-15.716586178851792,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
696,False,"{'a': 0.5, 'e': 0.46007203381687756}",20,10,20.6425648014887,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
697,False,"{'a': 0.5, 'e': 0.45867749327242147}",30,0,31.552194988985416,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
698,False,"{'a': 0.5, 'e': 0.45728182213404445}",20,16,5.791866362288905,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.5, 'e': 0.4558850238419358}",20,9,10.235676040999847,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
700,False,"{'a': 0.5, 'e': 0.4544871018390625}",20,8,-5.141966596575632,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
701,False,"{'a': 0.5, 'e': 0.45308805957116194}",20,10,20.56747552674458,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
702,False,"{'a': 0.5, 'e': 0.451687900486733}",20,1,19.679131073203894,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
703,False,"{'a': 0.5, 'e': 0.4502866280370266}",25,11,22.37569285543547,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.5, 'e': 0.4488842456760388}",25,9,27.17461924694172,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
705,False,"{'a': 0.5, 'e': 0.44748075686050126}",20,0,16.604762884456797,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
706,False,"{'a': 0.5, 'e': 0.4460761650498725}",20,13,13.404708407409919,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
707,False,"{'a': 0.5, 'e': 0.4446704737063304}",25,6,27.00936936275041,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
708,False,"{'a': 0.5, 'e': 0.44326368629476276}",25,18,-0.7791280207417124,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
709,False,"{'a': 0.5, 'e': 0.44185580628275944}",25,11,10.60947995722191,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
710,False,"{'a': 0.5, 'e': 0.4404468371406027}",25,5,33.04825783608994,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
711,False,"{'a': 0.5, 'e': 0.4390367823412601}",25,2,-19.481415586113393,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
712,False,"{'a': 0.5, 'e': 0.4376256453603752}",25,1,-12.127067229852543,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
713,False,"{'a': 0.5, 'e': 0.4362134296762584}",25,9,-7.907803065602797,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
714,False,"{'a': 0.5, 'e': 0.4348001387698797}",25,0,-27.344196540547003,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
715,False,"{'a': 0.5, 'e': 0.4333857761248593}",25,17,16.92811154603393,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
716,False,"{'a': 0.5, 'e': 0.4319703452274585}",30,14,27.93949133768869,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
717,False,"{'a': 0.5, 'e': 0.4305538495665725}",25,12,-13.349072855289503,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
718,False,"{'a': 0.5, 'e': 0.4291362926337209}",25,3,-59.43059608593946,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 2}",1
719,False,"{'a': 0.5, 'e': 0.4277176779230386}",20,9,18.744985126461653,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
720,False,"{'a': 0.5, 'e': 0.4262980089312686}",30,16,13.27009718587733,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
721,False,"{'a': 0.5, 'e': 0.4248772891577524}",25,5,13.219420823198423,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
722,False,"{'a': 0.5, 'e': 0.4234555221044211}",20,10,20.56579282503257,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
723,False,"{'a': 0.5, 'e': 0.4220327112757878}",25,13,-0.7285949677284584,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
724,False,"{'a': 0.5, 'e': 0.4206088601789383}",25,8,4.302366988688051,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
725,False,"{'a': 0.5, 'e': 0.4191839723235221}",25,17,11.471344511131864,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
